student_id,enrolled_courses,video_watch_mins,avg_quiz_score,days_active,completion_status
STU_00001,"Machine Learning, Python Programming",866,88.2,49,1
STU_00002,"Data Science, Machine Learning, Blockchain",1503,80.3,53,0
STU_00003,"Machine Learning, Artificial Intelligence",214,41.1,1,0
STU_00004,"Blockchain, Artificial Intelligence",1485,74.9,49,1
STU_00005,"Data Visualization, Artificial Intelligence",988,63.6,35,1
STU_00006,"Python Programming, Data Science, Data Visualization",389,46.8,10,0
STU_00007,"Deep Learning, Machine Learning, Blockchain",209,69.2,11,0
STU_00008,"Deep Learning, Cloud Computing",1009,84.9,29,1
STU_00009,Data Visualization,265,60.8,3,0
STU_00010,"Web Development, Deep Learning, Artificial Intelligence",463,35.1,10,0
STU_00011,"Cloud Computing, Machine Learning, Artificial Intelligence, Data Visualization, Python Programming",332,68.2,4,0
STU_00012,"Deep Learning, Data Science, Machine Learning",62,48.1,15,0
STU_00013,"Machine Learning, Data Science",860,86.3,53,1
STU_00014,"Cyber Security, Data Visualization, Cloud Computing",1466,76.6,40,1
STU_00015,"Blockchain, Artificial Intelligence, Deep Learning, Data Visualization",73,71.5,9,0
STU_00016,"Deep Learning, Data Visualization, Machine Learning",238,67.2,16,1
STU_00017,"Deep Learning, Artificial Intelligence, Cyber Security, Blockchain",888,84.2,59,1
STU_00018,"Data Science, Artificial Intelligence, Cloud Computing",1438,84.6,68,1
STU_00019,"Web Development, Data Visualization, Deep Learning, Machine Learning",1080,84.4,23,1
STU_00020,"Machine Learning, Python Programming, Web Development",456,51.7,11,0
STU_00021,"Data Visualization, Machine Learning",181,66.2,8,0
STU_00022,"Cyber Security, Blockchain",235,68.7,11,0
STU_00023,"Python Programming, Machine Learning, Cloud Computing, Data Visualization",1611,86.8,40,1
STU_00024,Data Visualization,400,49.1,2,0
STU_00025,"Cloud Computing, Blockchain, Data Science, Web Development",403,88.5,39,1
STU_00026,"Cloud Computing, Blockchain",1113,83.4,51,1
STU_00027,"Data Science, Blockchain, Python Programming",917,99.0,44,1
STU_00028,"Machine Learning, Deep Learning",697,85.6,81,1
STU_00029,Cloud Computing,371,51.1,7,0
STU_00030,"Web Development, Machine Learning",236,72.1,13,0
STU_00031,"Machine Learning, Blockchain",959,98.8,66,1
STU_00032,"Cyber Security, Blockchain, Data Science",508,40.1,7,1
STU_00033,Data Visualization,1711,93.7,45,1
STU_00034,"Artificial Intelligence, Cloud Computing",245,39.1,12,0
STU_00035,"Deep Learning, Cyber Security, Blockchain, Machine Learning",393,52.6,8,0
STU_00036,Web Development,934,93.1,26,1
STU_00037,"Python Programming, Machine Learning, Web Development, Blockchain",504,93.1,8,0
STU_00038,"Deep Learning, Machine Learning, Artificial Intelligence, Data Science",1138,87.6,56,1
STU_00039,"Data Science, Cyber Security",494,42.0,13,0
STU_00040,Data Visualization,482,59.4,6,0
STU_00041,Data Visualization,326,36.7,15,0
STU_00042,"Python Programming, Machine Learning",498,40.4,13,0
STU_00043,"Machine Learning, Artificial Intelligence",415,74.0,12,0
STU_00044,"Data Science, Data Visualization, Web Development",441,51.3,6,0
STU_00045,"Machine Learning, Cyber Security",1463,82.6,63,1
STU_00046,"Machine Learning, Python Programming, Blockchain",1361,82.4,85,1
STU_00047,"Artificial Intelligence, Data Science",911,94.8,45,1
STU_00048,"Data Visualization, Python Programming",279,51.6,13,0
STU_00049,Data Visualization,281,66.1,7,0
STU_00050,"Cyber Security, Cloud Computing",1433,80.5,57,1
STU_00051,"Blockchain, Cyber Security",406,56.4,13,0
STU_00052,Python Programming,1728,85.6,27,1
STU_00053,"Deep Learning, Python Programming, Blockchain, Cloud Computing, Machine Learning",1461,95.7,30,1
STU_00054,"Python Programming, Blockchain",507,62.7,12,0
STU_00055,"Web Development, Machine Learning, Artificial Intelligence, Cyber Security",303,68.1,17,1
STU_00056,"Artificial Intelligence, Python Programming, Machine Learning",1202,94.5,54,1
STU_00057,"Blockchain, Deep Learning, Cloud Computing, Machine Learning",854,70.0,47,1
STU_00058,Cloud Computing,171,89.7,1,0
STU_00059,"Cloud Computing, Cyber Security",237,56.2,5,0
STU_00060,"Machine Learning, Python Programming, Cyber Security",1099,77.8,55,1
STU_00061,"Machine Learning, Web Development, Artificial Intelligence",1916,100.0,65,1
STU_00062,"Deep Learning, Machine Learning, Artificial Intelligence, Data Science, Data Visualization",424,24.6,10,0
STU_00063,"Cloud Computing, Blockchain, Python Programming",1066,68.3,33,1
STU_00064,"Machine Learning, Data Science",549,47.9,6,1
STU_00065,"Blockchain, Data Science, Cloud Computing",441,74.0,11,0
STU_00066,"Deep Learning, Artificial Intelligence, Cloud Computing, Machine Learning",547,32.2,7,1
STU_00067,"Python Programming, Machine Learning",1128,100.0,44,1
STU_00068,"Python Programming, Web Development",160,51.2,3,0
STU_00069,"Cloud Computing, Data Science",1662,98.2,43,1
STU_00070,"Data Visualization, Blockchain, Python Programming",230,72.4,10,1
STU_00071,"Data Science, Blockchain, Python Programming",1139,85.6,54,1
STU_00072,"Data Science, Data Visualization, Web Development",318,78.8,3,0
STU_00073,"Python Programming, Deep Learning, Machine Learning",403,56.1,12,0
STU_00074,"Blockchain, Data Visualization, Data Science, Machine Learning",1167,87.8,35,1
STU_00075,Data Science,1465,80.4,35,0
STU_00076,"Deep Learning, Data Visualization, Artificial Intelligence, Machine Learning",1093,94.0,49,1
STU_00077,"Python Programming, Cyber Security, Artificial Intelligence",205,68.2,12,1
STU_00078,"Deep Learning, Cloud Computing, Artificial Intelligence, Machine Learning",193,54.7,10,0
STU_00079,"Deep Learning, Cloud Computing",999,96.6,68,1
STU_00080,"Blockchain, Data Visualization, Deep Learning",234,74.6,10,1
STU_00081,"Data Science, Cloud Computing",264,67.8,8,0
STU_00082,"Deep Learning, Web Development, Data Visualization, Cloud Computing, Cyber Security, Machine Learning",1016,86.0,53,1
STU_00083,"Python Programming, Data Visualization, Web Development",662,80.5,63,1
STU_00084,"Artificial Intelligence, Deep Learning, Data Visualization, Machine Learning",841,91.2,54,1
STU_00085,Deep Learning,195,54.9,1,1
STU_00086,"Blockchain, Cloud Computing, Data Visualization, Data Science",1731,76.7,40,1
STU_00087,Data Science,392,75.4,7,0
STU_00088,"Data Visualization, Data Science, Cloud Computing, Artificial Intelligence",1261,80.3,48,0
STU_00089,Cloud Computing,473,47.8,6,0
STU_00090,Web Development,1608,88.1,67,1
STU_00091,"Cyber Security, Artificial Intelligence",1109,85.0,34,1
STU_00092,Data Science,1185,88.2,32,1
STU_00093,"Web Development, Deep Learning, Machine Learning",1347,85.9,23,1
STU_00094,"Cloud Computing, Artificial Intelligence, Blockchain, Machine Learning",173,58.4,10,0
STU_00095,Cyber Security,1342,85.5,79,1
STU_00096,"Cyber Security, Data Visualization, Artificial Intelligence",1321,100.0,33,1
STU_00097,"Data Visualization, Artificial Intelligence, Data Science",1166,94.8,23,0
STU_00098,"Machine Learning, Data Visualization",417,23.1,7,0
STU_00099,"Blockchain, Cyber Security, Python Programming",626,88.6,53,1
STU_00100,"Machine Learning, Cyber Security",445,35.2,19,0
STU_00101,"Blockchain, Web Development, Deep Learning, Data Visualization",1177,82.2,49,1
STU_00102,"Blockchain, Data Visualization",870,83.9,63,1
STU_00103,"Data Science, Cyber Security",1167,84.4,48,1
STU_00104,"Cloud Computing, Blockchain, Cyber Security, Deep Learning, Machine Learning",345,55.1,10,0
STU_00105,"Cloud Computing, Artificial Intelligence, Web Development",253,31.0,3,1
STU_00106,"Machine Learning, Data Science, Blockchain",380,32.0,16,0
STU_00107,Artificial Intelligence,336,85.7,10,0
STU_00108,"Blockchain, Cyber Security, Data Visualization, Python Programming",532,85.9,18,0
STU_00109,"Web Development, Python Programming, Data Visualization, Artificial Intelligence",146,51.0,17,0
STU_00110,"Data Visualization, Web Development",1463,95.6,18,1
STU_00111,"Web Development, Artificial Intelligence",1465,83.6,48,1
STU_00112,"Cyber Security, Python Programming, Data Visualization",10,79.4,3,0
STU_00113,"Data Visualization, Data Science, Cyber Security, Machine Learning",1195,93.0,40,1
STU_00114,"Data Visualization, Python Programming, Machine Learning, Deep Learning, Artificial Intelligence",50,24.0,9,0
STU_00115,"Python Programming, Cloud Computing, Data Visualization",281,53.9,4,0
STU_00116,"Deep Learning, Data Visualization, Machine Learning",1346,84.4,59,1
STU_00117,"Machine Learning, Cyber Security, Python Programming",1065,80.2,32,0
STU_00118,"Deep Learning, Machine Learning",216,53.4,4,1
STU_00119,"Python Programming, Web Development",1217,62.2,43,1
STU_00120,"Python Programming, Data Science, Artificial Intelligence",306,44.5,11,0
STU_00121,"Web Development, Artificial Intelligence, Cyber Security, Deep Learning, Machine Learning",427,45.7,6,0
STU_00122,"Machine Learning, Data Science",1373,82.2,10,1
STU_00123,"Python Programming, Cloud Computing, Data Visualization",206,22.1,14,0
STU_00124,"Machine Learning, Artificial Intelligence, Web Development, Deep Learning",903,100.0,61,1
STU_00125,Web Development,1657,60.4,32,1
STU_00126,"Web Development, Python Programming",164,45.3,4,0
STU_00127,"Deep Learning, Machine Learning",1265,94.1,60,0
STU_00128,"Data Visualization, Cyber Security",398,56.2,5,1
STU_00129,"Cyber Security, Data Science, Data Visualization",233,78.7,8,0
STU_00130,"Cloud Computing, Blockchain",999,94.3,73,1
STU_00131,"Web Development, Cloud Computing",304,56.9,8,0
STU_00132,"Machine Learning, Cloud Computing",1128,78.5,37,1
STU_00133,"Cyber Security, Data Visualization",175,46.8,1,0
STU_00134,"Deep Learning, Data Science, Cyber Security, Machine Learning, Blockchain",1405,82.6,31,1
STU_00135,"Web Development, Cloud Computing, Python Programming, Blockchain, Machine Learning",335,59.1,6,0
STU_00136,"Cyber Security, Blockchain, Artificial Intelligence",1040,86.0,56,1
STU_00137,"Cyber Security, Web Development, Python Programming",439,43.6,7,0
STU_00138,"Artificial Intelligence, Cloud Computing",899,68.7,45,1
STU_00139,Blockchain,742,93.0,27,1
STU_00140,"Blockchain, Deep Learning, Machine Learning",1280,78.5,45,1
STU_00141,"Artificial Intelligence, Machine Learning",1019,92.6,61,1
STU_00142,"Blockchain, Data Science, Artificial Intelligence",415,17.9,6,0
STU_00143,"Web Development, Blockchain",1250,85.9,52,1
STU_00144,"Artificial Intelligence, Cloud Computing, Web Development, Data Science",537,60.1,7,0
STU_00145,"Blockchain, Data Science",252,50.2,12,1
STU_00146,"Blockchain, Cloud Computing, Data Science",1510,93.7,40,1
STU_00147,"Machine Learning, Python Programming",1124,98.0,34,1
STU_00148,"Cyber Security, Deep Learning, Machine Learning",10,55.3,18,1
STU_00149,"Cyber Security, Machine Learning",1128,93.2,58,1
STU_00150,"Machine Learning, Python Programming, Data Science",314,32.8,15,0
STU_00151,Cloud Computing,376,73.7,14,0
STU_00152,"Blockchain, Data Visualization, Artificial Intelligence",1224,80.4,32,1
STU_00153,"Cyber Security, Cloud Computing",1652,89.0,39,1
STU_00154,"Cloud Computing, Python Programming, Machine Learning, Data Visualization",424,51.0,5,0
STU_00155,"Machine Learning, Data Science, Artificial Intelligence",235,46.7,14,0
STU_00156,"Python Programming, Data Visualization, Cyber Security",1492,89.1,73,1
STU_00157,"Python Programming, Artificial Intelligence",141,47.3,10,0
STU_00158,"Cyber Security, Machine Learning",1450,91.5,44,1
STU_00159,"Web Development, Artificial Intelligence",1254,100.0,41,1
STU_00160,"Data Science, Cloud Computing, Web Development, Python Programming",307,56.6,13,0
STU_00161,"Web Development, Cloud Computing, Cyber Security",332,61.6,11,0
STU_00162,"Data Visualization, Cloud Computing, Cyber Security",858,100.0,37,1
STU_00163,"Data Visualization, Deep Learning, Cloud Computing, Python Programming, Machine Learning",1172,92.8,83,1
STU_00164,"Web Development, Python Programming",1357,83.4,38,1
STU_00165,"Cloud Computing, Python Programming, Data Science, Artificial Intelligence",1455,61.8,41,1
STU_00166,"Cloud Computing, Data Science",1388,81.6,70,1
STU_00167,"Cyber Security, Machine Learning",862,83.5,44,1
STU_00168,"Deep Learning, Machine Learning",804,82.7,55,1
STU_00169,"Cyber Security, Cloud Computing, Data Visualization",894,90.2,33,1
STU_00170,"Cyber Security, Machine Learning, Deep Learning, Data Science, Data Visualization",275,93.6,10,0
STU_00171,Blockchain,965,91.7,43,0
STU_00172,"Blockchain, Cyber Security",1246,84.7,36,1
STU_00173,"Deep Learning, Cyber Security, Blockchain",508,15.1,1,0
STU_00174,"Cloud Computing, Cyber Security, Blockchain",113,49.9,8,1
STU_00175,"Web Development, Artificial Intelligence, Data Science, Cyber Security",1155,90.3,57,1
STU_00176,"Machine Learning, Artificial Intelligence",802,94.4,64,1
STU_00177,Cyber Security,988,77.7,46,1
STU_00178,"Data Science, Cyber Security",1160,72.8,55,1
STU_00179,Cloud Computing,1444,75.6,48,1
STU_00180,"Cyber Security, Artificial Intelligence",1275,74.2,54,1
STU_00181,"Artificial Intelligence, Blockchain",699,100.0,26,1
STU_00182,"Machine Learning, Cloud Computing",955,69.4,54,1
STU_00183,"Deep Learning, Blockchain, Cloud Computing",487,22.5,1,0
STU_00184,"Web Development, Cyber Security, Data Science, Artificial Intelligence",1036,79.6,50,1
STU_00185,"Blockchain, Web Development, Data Visualization, Artificial Intelligence",1491,84.7,39,1
STU_00186,Artificial Intelligence,1603,88.1,19,1
STU_00187,"Data Visualization, Python Programming, Deep Learning",1013,80.8,25,1
STU_00188,"Data Visualization, Data Science",1230,87.0,30,0
STU_00189,"Blockchain, Deep Learning",1801,92.2,37,1
STU_00190,Blockchain,1358,87.6,59,0
STU_00191,"Data Science, Data Visualization, Web Development",149,62.7,9,0
STU_00192,"Cloud Computing, Deep Learning",420,45.6,10,0
STU_00193,"Deep Learning, Blockchain, Machine Learning",247,58.0,2,0
STU_00194,"Cyber Security, Blockchain",387,41.2,3,0
STU_00195,"Cloud Computing, Artificial Intelligence, Machine Learning",1372,67.5,76,0
STU_00196,"Machine Learning, Cyber Security, Data Science, Deep Learning",254,42.1,13,0
STU_00197,Deep Learning,391,32.2,9,0
STU_00198,"Data Science, Artificial Intelligence, Data Visualization",1002,96.5,34,1
STU_00199,Data Science,326,50.0,19,0
